"","blog.txt","news.txt","twitter.txt"
"apple s",2,7,5
"apps like",1,1,1
"april 11",2,1,1
"april 12",22,2,6
"april 13",2,1,2
"april 16",1,1,2
"april 20",1,1,2
"april 2010",2,1,1
"april 2012",9,1,5
"april 24",2,4,1
"april 25",3,3,1
"april 26",2,1,1
"april 28",2,3,5
"april 29",3,2,3
"april 30",2,4,2
"april may",3,1,2
"area like",3,2,1
"area need",3,1,1
"area public",1,1,1
"area s",5,4,3
"area will",4,1,4
"argentina s",1,1,1
"arizona state",1,6,2
"armed forces",7,1,4
"arms around",6,3,4
"around 10",2,1,1
"around 11",2,1,1
"around bit",1,1,2
"around car",2,1,1
"around country",7,1,1
"around downtown",1,1,1
"around especially",1,1,1
"around globe",7,3,2
"around just",6,1,1
"around last",1,1,2
"around league",1,1,2
"around like",14,1,8
"around live",1,1,1
"around midnight",2,1,2
"around much",7,1,1
"around new",4,1,1
"around noon",1,1,2
"around one",10,1,6
"around s",13,1,3
"around saying",2,1,1
"around second",1,1,1
"around see",11,1,4
"around state",1,5,1
"around table",1,1,1
"around talking",1,1,1
"around time",20,2,4
"around town",11,3,6
"around ve",2,1,1
"around world",53,11,21
"arrested charged",2,3,1
"arrive early",3,1,4
"art deco",3,1,1
"art galleries",3,1,1
"art gallery",5,2,3
"art museum",6,5,11
"art project",3,1,2
"art supplies",1,1,3
"art world",5,1,3
"artist s",10,1,3
"artist will",1,2,1
"arts &",3,2,1
"arts center",1,1,7
"arts crafts",3,3,2
"arts culture",1,2,1
"arts program",1,1,2
"arts sciences",2,1,1
"asbury park",1,1,1
"ask anyone",2,2,2
"ask long",2,1,1
"ask many",1,1,2
"ask new",1,1,2
"ask people",1,1,1
"ask question",8,2,9
"ask questions",27,2,14
"ask questions later",1,1,1
"ask really",4,1,1
"ask s",5,1,1
"ask tell",5,1,2
"ask us",1,2,6
"ask whether",4,1,1
"ask will",2,1,3
"asked comment",1,1,1
"asked first",3,1,2
"asked follow",1,1,2
"asked help",3,3,3
"asked like",2,1,1
"asked question",15,2,5
"asked said",2,1,1
"asked three",1,1,1
"asked us",6,1,4
"asked wanted",8,1,4
"asking question",1,1,5
"asking questions",7,1,2
"assembly line",3,1,2
"associated press",7,14,1
"association s",2,2,3
"at30 pm",5,14,14
"atin morning",2,1,5
"atlanta s",1,3,2
"attempt get",5,1,1
"attempted murder",3,3,2
"attempting make",1,1,1
"attend meeting",3,1,1
"attended meeting",1,1,1
"attention back",1,1,1
"attention detail",4,1,5
"attention people",2,1,1
"attitude era",1,1,1
"attorney general",6,8,1
"attorney s",5,10,2
"auburn hills",1,2,1
"audio video",2,1,3
"aug 15",1,1,1
"austin s",1,1,17
"author s",27,3,1
"auto insurance",1,1,1
"auto show",1,1,2
"available new",3,1,1
"available us",5,2,1
"available year",1,1,1
"average person",1,1,4
"average price",1,2,1
"award winner",4,1,1
"award winning",14,2,15
"away go",2,1,5
"away home",14,2,1
"away last",4,1,3
"away people",3,1,4
"away s",13,1,4
"away said",2,4,1
"away ve",3,1,2
"away will",7,1,2
"awe inspiring",4,1,4
"awhile since",3,1,3
"ayear old",9,4,10
"b c",9,1,80
"b day",2,1,43
"baby boomers",2,1,3
"baby born",4,2,2
"baby like",3,1,3
"baby s",22,1,16
"baby wipes",2,1,1
"bachelor s",8,1,1
"back ù",5,2,2
"back 2004",1,1,1
"back action",1,1,6
"back another",8,1,1
"back around",3,1,2
"back asleep",1,1,1
"back back",8,4,14
"back big",7,1,6
"back can",10,1,11
"back college",2,1,3
"back come",1,1,3
"back community",2,1,1
"back corner",1,1,1
"back couple",3,1,4
"back deck",1,1,1
"back door",6,5,6
"back earlier",1,1,1
"back early",4,2,1
"back economy",1,1,1
"back either",1,1,1
"back end",6,2,2
"back even",6,2,2
"back feet",6,1,1
"back forth",40,2,14
"back front",2,1,2
"back getting",4,1,1
"back home",57,4,43
"back just",7,1,4
"back later",8,1,5
"back life",11,1,8
"back looked",2,1,2
"back looked like",1,1,1
"back many",3,2,2
"back new",4,1,10
"back nice",1,1,3
"back now",11,1,8
"back old",9,1,10
"back one",10,1,7
"back original",5,1,2
"back pain",4,2,1
"back people",3,2,1
"back place",5,1,1
"back plan",4,1,1
"back plane",1,1,2
"back porch",5,1,2
"back problems",2,1,2
"back real",4,1,6
"back really",5,1,2
"back road",3,1,1
"back s",12,1,10
"back said",2,1,1
"back school",19,4,31
"back seat",7,3,4
"back second",5,1,1
"back see",9,1,11
"back session",1,1,1
"back side",4,1,2
"back soon",14,1,31
"back start",4,1,4
"back stock",1,1,2
"back team",1,1,2
"back time",24,3,14
"back tuesday",5,1,1
"back two",4,2,2
"back us",10,1,11
"back wall",3,1,1
"back will",9,1,6
"back winning",1,1,1
"back work",23,2,30
"back yard",15,2,6
"background music",1,1,3
"bad date",1,1,1
"bad day",5,1,20
"bad deal",1,1,1
"bad decision",2,2,2
"bad guy",6,2,8
"bad idea",8,3,18
"bad job",1,1,1
"bad m",5,1,14
"bad news",16,4,19
"bad one",6,2,6
"bad shot",1,1,2
"bad still",1,1,2
"bad thing",14,2,18
"bad time",2,1,4
"bailey s",1,1,3
