"","blog.txt","news.txt","twitter.txt"
"audio video",7,1,9
"auto industry",2,1,1
"auto insurance",3,1,5
"auto show",1,1,4
"automatically get",2,1,1
"available new",4,1,1
"available purchase",10,1,1
"available us",7,2,4
"ave st",1,1,1
"average person",6,1,8
"average price",2,2,1
"award will",3,1,1
"award winner",6,1,3
"awards announced",1,1,2
"away come",1,1,7
"away entire",2,1,1
"away family",4,1,1
"away go",2,1,6
"away home",28,2,3
"away last",9,1,6
"away people",10,1,7
"away really",4,1,1
"away said",3,4,2
"away see",2,1,2
"away tears",4,1,1
"away thats",2,1,3
"away theres",2,1,1
"away think",7,1,1
"away will",8,1,6
"awhile since",8,1,5
"b c",15,1,145
"babies born",4,1,1
"baby boomers",2,1,5
"baby born",10,2,4
"baby like",4,1,4
"baby wipes",3,1,1
"back action",2,1,10
"back another",11,1,5
"back around",7,1,4
"back asleep",4,1,3
"back back",7,1,26
"back big",7,1,11
"back bit",9,1,2
"back can",19,1,21
"back chris",1,1,2
"back college",5,1,4
"back come",1,1,5
"back community",4,1,1
"back corner",3,1,1
"back days",13,1,8
"back deck",5,1,3
"back dont",3,1,10
"back door",14,5,8
"back earlier",2,1,1
"back early",10,2,2
"back easy",1,1,1
"back economy",1,1,1
"back either",1,1,1
"back end",11,2,7
"back even",12,1,4
"back feet",8,1,1
"back forth",75,2,19
"back front",5,1,2
"back getting",5,1,3
"back home",107,4,83
"back injury",1,1,1
"back inside",18,1,1
"back issue",1,1,1
"back just",17,1,17
"back later",16,1,10
"back life",24,1,22
"back looked",6,1,2
"back looked like",2,1,1
"back many",7,2,4
"back new",10,1,17
"back now",17,1,31
"back old",19,1,15
"back original",9,1,2
"back pain",9,2,7
"back people",3,2,2
"back place",11,1,4
"back plane",1,1,4
"back porch",10,1,3
"back problems",3,1,2
"back real",5,1,8
"back really",9,1,7
"back road",8,1,4
"back room",18,1,7
"back said",5,1,2
"back seat",23,2,9
"back second",11,1,3
"back see",25,1,19
"back session",1,1,3
"back side",5,1,2
"back soon",26,1,60
"back south",3,1,4
"back square",3,1,2
"back start",6,1,4
"back stock",1,1,3
"back story",13,1,1
"back super",1,1,2
"back team",1,1,3
"back time",42,3,29
"back turn",1,1,2
"back two",6,1,2
"back us",16,1,16
"back wall",6,1,1
"back will",17,1,7
"back work",57,2,67
"back writing",1,1,10
"back yard",30,1,10
"back year",5,2,2
"background music",4,1,4
"backup plan",5,1,2
"bad behavior",3,1,3
"bad date",1,1,1
"bad day",15,1,36
"bad deal",1,1,1
"bad decision",5,2,2
"bad experiences",1,1,1
"bad feelings",1,1,1
"bad guy",20,1,14
"bad idea",17,3,33
"bad im",9,1,34
"bad job",1,1,1
"bad karma",1,1,3
"bad little",3,1,1
"bad news",24,4,47
"bad one",11,2,13
"bad shot",1,1,3
"bad still",2,1,4
"bad thing",39,2,36
"bad time",4,1,7
"bad year",1,1,5
"bake sale",6,1,6
"baked goods",10,2,6
"baking powder",28,1,1
"baking soda",40,1,3
"balance budget",1,1,2
"ball back",2,1,2
"ball game",8,1,5
"ball play",2,1,2
"ball rolling",8,1,2
"ball twice",1,1,1
"baltimore city",1,1,5
"baltimore md",1,1,1
"baltimore orioles",1,1,2
"baltimore ravens",1,1,3
"baltimore sun",3,2,3
"band class",1,1,1
"band last",1,1,1
"band members",6,1,4
"band now",2,2,1
"band together",3,1,2
"band year",1,1,2
"bank america",7,4,7
"bank can",1,1,3
"bank gaza",2,1,1
"bank will",4,2,2
"banks may",1,1,1
"baptist church",5,5,8
"bar grand",1,1,1
"bar night",1,1,1
"bar now",4,1,3
"barack obama",32,13,14
"barbara johnson",1,1,1
"barbecue sauce",5,1,1
"barely enough",3,3,2
"barely function",1,1,1
"barely see",6,1,2
"barnes noble",19,5,12
"barrel oil",2,1,1
"barry trotz",1,1,1
"bars restaurants",5,2,1
"base camp",1,2,4
"base new",1,1,1
"baseball games",2,1,6
"baseball players",1,1,6
"baseball team",4,3,12
"based popular",1,1,1
"bases loaded",1,2,14
"basic level",3,2,1
"basketball football",1,1,2
"basketball game",2,1,20
"basketball games",2,1,5
"basketball player",3,2,5
"basketball players",4,1,6
"basketball team",1,2,17
"basketball teams",1,2,2
"basketball tournament",2,1,5
"bass drums",1,2,3
"bass line",3,1,1
"baton rouge",2,2,9
"batting average",2,2,2
"battle cancer",6,1,6
"bay area",15,8,36
"bayern munich",2,1,1
"beach club",1,1,3
"beach county",4,2,1
"bear weight",2,1,1
"beat em",1,1,1
"beaten death",2,1,1
"beautiful amazing",2,1,1
"beautiful like",2,1,5
"beautiful music",3,1,5
"beautiful time",4,1,6
"beautiful time year",3,1,1
"beauty pageant",3,1,1
"became expensive",1,1,1
"became first",7,2,3
"became friends",3,2,2
"became good",3,1,1
"became good friends",1,1,1
"became known",6,1,1
"became one",5,1,2
"become accustomed",5,1,2
"become big",2,1,2
"become law",4,2,1
"become like",7,1,2
"become one",26,2,6
"become president",2,1,1
"bed breakfast",8,1,3
"bed get",3,1,2
"bed rest",6,1,2
"bed without",2,1,2
"beef pork",3,1,1
"beer geeks",5,1,1
"beer night",1,2,8
"beer will",5,1,5
"beer wine",6,1,10
"began years",1,1,1
"began years ago",1,1,1
"begin describe",5,1,4
"begin making",1,1,1
"begin soon",3,1,1
"begin today",2,1,2
"begin wonder",1,1,1
"beginning end",19,1,8
"beginning feel",4,1,3
"beginning just",1,1,1
"beginning look",2,1,1
"behave way",1,1,2
"behavior will",3,1,2
"behind bar",5,1,4
"behind bars",4,1,3
"behind scenes",13,1,21
