"","blog.txt","news.txt","twitter.txt"
"blow to",3,1,3
"blowing the",3,1,4
"blowing up",2,1,6
"blown out",1,1,5
"blown save",1,1,1
"blown to",2,1,2
"blown up",2,1,3
"blows the",2,1,2
"blu ray",9,4,10
"blue and",23,3,5
"blue and white",3,2,2
"blue collar",4,1,1
"blue jeans",3,1,1
"blue light",2,1,1
"blue or",1,1,2
"blue ridge",1,1,1
"blue sea",2,1,2
"blue the",2,1,1
"blues and",3,1,3
"board and",20,4,6
"board as",1,2,3
"board at",1,1,2
"board at the",1,1,1
"board but",2,2,2
"board games",1,1,1
"board in",3,3,2
"board is",3,3,3
"board member",1,4,4
"board of",26,24,5
"board of directors",7,3,2
"board of education",3,4,1
"board of supervisors",1,2,1
"board on",1,2,4
"board president",1,2,1
"board that",1,2,3
"board the",6,2,3
"boards and",7,3,2
"body a",4,1,2
"body and",44,7,11
"body and mind",4,2,2
"body can",3,1,1
"body feels",1,1,1
"body has",3,1,2
"body in",11,1,5
"body in the",3,1,2
"body of",22,1,8
"body parts",5,2,1
"body to",8,1,7
"body was",16,2,1
"boils down",4,1,2
"boils down to",2,1,2
"boise state",1,1,2
"bomb and",1,1,2
"bomb on",2,1,2
"bond with",5,2,1
"bone and",4,1,1
"bonus for",1,1,1
"bonus of",1,3,1
"book about",22,1,10
"book and",76,1,12
"book at",11,1,4
"book at the",2,1,1
"book by",13,1,6
"book by its",1,1,1
"book for",28,2,11
"book for the",2,1,1
"book has",16,1,3
"book i",61,1,13
"book in",45,1,8
"book is",71,3,19
"book is a",9,1,1
"book now",2,1,9
"book of",46,2,17
"book on",19,2,16
"book on the",8,1,2
"book store",1,1,3
"book that",32,1,7
"book the",37,1,10
"book was",14,1,3
"book we",4,1,2
"book which",11,1,1
"booked a",4,1,6
"booked for",1,3,8
"books a",4,1,3
"books about",7,1,4
"books and",43,2,11
"books are",23,2,7
"books by",7,1,4
"books for",18,1,11
"books in",20,1,3
"books on",14,2,6
"books on the",2,1,1
"books so",7,1,3
"books were",7,1,2
"books when",1,1,1
"books when i",1,1,1
"boom of",2,1,1
"boot camp",2,1,7
"booth and",2,1,3
"boots for",2,1,2
"border on",3,1,2
"borders of",2,1,1
"boring i",1,1,7
"born a",3,1,3
"born again",3,1,1
"born and",12,3,5
"born and raised",3,3,3
"born in",38,15,22
"born on",13,2,6
"born to",10,2,12
"borrow from",2,1,1
"borrowed from",8,1,1
"borrowed money",1,1,1
"borrowed money from",1,1,1
"boss and",6,1,4
"boss at",1,1,2
"boston globe",2,1,1
"boston to",3,2,5
"both a",17,1,4
"both are",15,3,13
"both but",1,1,2
"both for",9,1,2
"both from",3,1,2
"both games",1,1,3
"both i",4,1,4
"both in",26,2,7
"both my",15,1,6
"both of",84,6,50
"both of the",7,1,2
"both of them",17,1,7
"both of those",2,1,5
"both parties",6,2,2
"both sides",35,11,6
"both sides of",13,3,5
"both teams",4,3,16
"both the",70,9,8
"both those",1,1,2
"both to",6,2,2
"both were",8,1,3
"bother to",8,1,1
"bothering me",1,1,2
"bothering to",1,1,2
"bothers me",6,1,3
"bottle and",5,1,1
"bottle of",26,1,31
"bottled up",1,1,1
"bottles of",11,2,11
"bottom line",6,4,6
"bottom line is",3,2,2
"bottom of",92,8,33
"bottom of a",4,2,2
"bottom of the",50,5,18
"bottom up",2,1,4
"bought a",53,3,25
"bought by",3,1,1
"bought for",3,2,2
"bought him",5,1,1
"bought in",2,1,2
"bought it",15,2,6
"bought it for",1,1,1
"bought one",3,1,2
"bought out",2,1,1
"bought something",1,1,1
"bought the",21,4,10
"bound to",22,3,10
"bowl in",5,2,4
"bowl in a",1,1,1
"bowl of",17,2,19
"bowl to",4,1,3
"bowl with",15,2,4
"bowling green",3,1,2
"bowls and",4,2,1
"bowls of",6,1,3
"box and",21,2,3
"box for",6,1,8
"box for a",1,1,1
"box of",24,1,21
"box office",5,4,6
"box with",10,1,2
"boxes and",10,2,3
"boxes of",8,1,1
"boy and",12,2,3
"boy he",4,2,3
"boy named",1,1,1
"boy scout",2,1,1
"boy was",3,2,1
"boy who",14,4,8
"boy who was",2,1,1
"boy with",4,1,3
"boyfriend and",7,1,6
"boyfriend and his",1,1,1
"boyfriend is",4,1,14
"boys and",25,3,13
"boys and girls",9,3,1
"boys in",13,2,9
"boys of",4,1,1
"boys on",1,1,5
"boys on the",1,1,2
"boys who",10,1,5
"brain and",10,2,1
"brain damage",1,1,1
"brain with",1,1,1
"branches of",3,1,2
"brand and",3,3,1
"brand is",3,2,7
"brand new",47,3,48
"brand new and",1,1,2
"brands and",3,1,3
"brave enough",4,1,4
"brave enough to",3,1,3
"brave the",4,1,3
"bread and",14,2,7
"bread for",4,1,1
"bread is",1,1,2
"breadth of",2,1,1
"break a",7,1,12
"break and",14,1,9
"break away",3,1,3
"break but",4,1,2
"break down",9,3,6
"break down the",1,1,2
"break for",6,1,7
"break from",21,2,26
"break in",9,3,13
"break into",4,3,3
"break is",3,1,6
"break most",1,1,1
"break most of",1,1,1
"break out",11,2,9
"break out of",1,1,2
"break the",20,6,9
"break the law",1,1,1
"breakdown of",5,1,2
"breakfast in",5,2,2
"breakfast is",2,1,4
"breaking in",1,1,1
"breaking into",3,1,1
"breaking news",2,1,25
"breaking point",1,1,3
"breaking the",10,2,8
"breaking up",4,1,7
"breaking up the",1,1,1
"breaks for",1,1,1
"breaks my",7,1,3
"breaks my heart",7,1,3
"breast cancer",15,6,11
"breath and",11,1,4
"breathe in",1,1,3
"brew house",1,1,1
"brick road",1,1,1
"brick wall",2,1,4
"bridge and",6,2,2
"bridge between",2,1,2
"brief and",6,1,1
"bright blue",2,1,1
"bright green",3,1,1
"bright idea",2,1,2
"brighten up",1,1,3
"brilliant and",7,1,6
"bring a",9,5,19
"bring him",6,1,7
"bring home",4,2,4
"bring in",13,4,14
"bring it",20,2,45
"bring it to",5,1,8
"bring our",3,1,2
"bring the",38,4,29
"bring their",5,2,1
"bring them",10,1,7
"bring this",6,1,3
"bring to",34,8,3
"bring us",8,1,4
"bring you",15,2,18
"bring your",13,1,36
"bring your own",4,1,5
"bringing a",3,1,5
"bringing in",8,1,2
"bringing it",6,2,7
"bringing it back",1,2,2
"bringing that",1,1,1
"bringing the",7,2,12
"brings back",4,1,7
"brings in",3,1,2
"brings the",12,3,6
"brink of",3,1,4
"broad and",2,1,1
"broadway and",2,3,1
"broadway show",1,1,5
"broccoli rabe",1,1,1
"broke a",3,1,4
"broke down",13,2,4
"broke down and",4,1,1
"broke out",6,3,3
"broke the",8,6,5
"broke up",5,2,15
"broken and",13,1,3
"broken in",2,2,3
"broken the",3,1,1
"brother and",25,3,11
"brother and sister",3,2,2
"brother he",2,1,2
"brother in",21,1,9
"brother in law",15,1,6
"brother is",4,1,16
"brother was",4,1,1
"brother who",8,1,2
"brother would",2,1,1
"brothers and",22,3,3
"brothers in",2,2,2
"brought a",18,2,5
"brought an",3,2,1
"brought back",8,2,5
"brought down",4,2,1
"brought his",1,1,1
"brought in",15,2,1
"brought it",15,1,2
"brought me",16,1,10
"brought on",3,1,1
"brought out",6,1,2
"brought the",16,3,5
"brought their",5,1,2
"brought them",5,1,1
"brought to",26,4,13
"brought to you",4,1,7
"brought two",1,1,1
"brought up",21,1,4
"brought you",2,2,4
"brown and",19,3,2
"brown in",2,2,1
"brown is",6,1,6
"brown was",4,1,2
"browse the",1,2,1
"bryce harper",2,1,8
"bubble the",1,1,1
"bud light",2,2,9
"budget and",10,3,3
"budget cuts",3,4,1
"budget deficit",2,3,1
"budget for",3,1,5
"budget is",4,3,3
"budget of",3,2,1
"buffalo bills",1,1,1
"build a",29,11,28
"build and",8,3,4
"build another",1,1,1
"build the",5,4,4
"build up",23,3,1
"build up in",1,1,1
"building a",21,11,16
"building a new",1,2,2
"building and",19,8,4
"building at",2,2,2
"building for",1,1,2
"building from",1,1,1
"building in",10,2,3
"building that",6,2,1
"building the",8,5,8
"building was",9,1,1
"building with",2,1,1
"buildings were",1,1,1
"built a",3,5,2
"built and",8,2,2
"built at",2,1,1
"built by",11,1,1
"built for",7,2,5
"built from",3,1,1
"built in",26,4,12
"built into",6,1,1
"built on",12,2,8
"built on the",4,1,1
"built to",5,1,3
"built up",9,2,2
"bulletin board",5,1,5
"bullied and",1,1,1
"bump and",1,1,1
"bump up",1,1,1
"bumping into",1,2,2
"bunch of",89,5,79
"bunch of people",3,1,6
"bunch of stuff",1,1,1
"bureau and",1,1,1
"bureau of",7,6,1
"burger is",2,1,2
"burger joint",1,1,1
"burgers and",1,2,3
"buried in",10,2,1
"burn up",1,1,1
"burned down",2,2,1
"burned out",6,1,1
"burning in",2,1,1
"burns is",1,1,1
"burst into",11,1,2
"bus and",6,2,5
"bus driver",3,1,6
"bus in",4,1,6
"bus station",1,1,1
"bus to",6,1,9
"bus tour",2,2,3
"bush tax",2,1,1
"bush tax cuts",2,1,1
"business and",31,14,20
"business cards",3,1,13
"business for",2,1,3
"business have",1,1,2
"business in",12,3,9
"business is",15,4,17
"business is not",1,1,1
"business it",3,1,1
"business model",4,1,4
"business not",1,1,1
"business now",1,1,2
"business of",10,1,10
"business opportunity",3,1,3
"business owner",6,2,2
"business partner",6,2,2
"business that",4,2,6
"business this",2,1,2
"business to",11,1,4
"business when",2,1,4
"business with",11,2,9
"businesses and",8,7,2
"businesses are",5,1,1
"businesses in",3,1,3
"busy to",4,1,5
"busy trying",1,1,1
"busy weekend",3,1,3
"busy with",21,1,11
"busy woman",1,1,1
"but a",136,31,65
"but a few",10,2,1
"but about",2,1,1
"but actually",7,1,1
"but after",49,4,6
"but again",17,1,2
"but all",40,5,17
"but all the",8,2,1
"but also",109,16,22
"but also a",4,2,1
"but also to",5,2,1
"but always",12,1,6
"but an",13,2,9
"but another",3,2,1
"but any",5,2,4
"but are",18,4,10
"but are you",2,1,1
"but as",118,6,12
"but as the",10,3,1
"but at",56,2,38
"but at the",18,1,8
"but back",6,1,4
"but back in",1,1,1
"but because",37,3,8
"but before",23,5,1
"but best",1,1,1
"but by",24,1,12
"but by the",7,1,7
"but can",16,1,18
"but can be",1,1,2
"but could",12,1,8
"but couldn't",7,1,6
"but did",16,2,7
"but did not",5,1,1
"but didn't",17,4,22
"but didn't want",4,1,1
"but do",18,2,23
"but do not",6,2,3
"but does",13,1,5
"but does not",2,1,1
"but doesn't",8,2,4
"but doing",2,2,2
"but don't",33,6,34
"but don't forget",1,1,1
"but each",5,3,1
"but especially",2,2,2
"but even",38,4,7
"but everyone",5,1,6
"but few",2,1,2
"but first",14,4,5
"but first i",1,1,1
"but for",112,8,30
"but for some",9,1,1
"but from",10,3,2
"but from what",1,1,1
"but gave",1,1,2
"but getting",9,1,2
"but got",5,2,6
"but had",19,4,5
"but had to",2,1,3
"but has",16,6,7
"but has been",2,1,1
"but have",29,1,28
"but having",4,1,2
"but he",195,48,80
"but he'll",1,2,1
"but he's",31,5,22
"but he's a",4,2,4
"but he's not",4,2,3
"but he did",5,3,2
"but he didn't",9,4,3
"but he does",3,1,1
"but he has",8,2,4
"but he hasn't",2,1,1
"but he is",12,3,4
"but he just",3,1,1
"but he never",7,1,2
"but he said",2,5,3
"but he was",21,2,11
"but her",17,3,4
"but here",21,1,5
"but here's",10,1,6
"but here's the",3,1,1
"but here i",1,1,1
"but his",31,11,11
"but his mother",1,1,1
"but honestly",6,1,3
"but how",39,4,36
"but how can",5,1,2
"but how many",1,1,2
"but i",1331,44,924
"but i'm",152,8,199
"but i'm glad",2,1,5
"but i'm going",4,1,5
"but i'm not",25,1,27
"but i'm trying",1,1,1
"but i've",49,2,21
"but i've never",10,1,1
"but i also",25,1,6
"but i am",83,2,45
"but i came",2,1,1
"but i didn't",37,2,14
"but i do",43,4,21
"but i don't",66,4,61
"but i feel",15,1,12
"but i had",23,1,9
"but i hate",2,1,6
"but i just",31,6,23
"but i know",40,2,28
"but i liked",1,1,2
"but i never",14,1,9
"but i still",28,1,19
"but i think",82,3,55
"but i told",1,1,3
"but i want",9,1,15
"but i was",31,2,18
"but i wasn't",9,1,2
"but i will",32,1,30
"but i would",26,2,13
"but if",145,16,107
"but if he",2,2,5
"but if he's",1,1,1
"but if the",7,2,3
"but if they",9,1,3
"but if we",8,3,2
"but if you",48,3,35
"but in",151,20,49
"but in a",15,2,2
"but in my",9,1,2
"but in order",6,1,3
"but in the",33,10,18
"but inside",3,1,3
"but instead",30,1,8
"but is",42,6,33
"but is it",5,1,2
"but isn't",4,1,2
"but it",528,51,209
"but it's",225,27,127
"but it's a",25,4,11
"but it's all",3,1,5
"but it's also",6,1,3
"but it's an",3,1,1
"but it's definitely",1,1,2
"but it's not",26,3,9
"but it's still",8,1,2
"but it also",11,1,1
"but it doesn't",17,1,8
"but it has",17,1,5
"but it is",95,7,31
"but it made",4,1,3
"but it may",2,1,1
"but it might",3,1,2
"but it must",4,1,1
"but it only",1,1,1
"but it should",6,1,3
"but it takes",1,1,4
"but it was",90,9,30
"but it wasn't",20,3,2
"but it will",15,3,10
"but it won't",4,1,5
"but its",24,4,65
"but joe",1,1,2
"but just",41,3,24
"but kept",2,1,1
"but let's",13,1,6
"but little",1,1,1
"but look",7,1,4
"but looking",5,1,2
"but love",4,1,19
"but made",3,1,4
"but makes",1,1,2
"but making",2,2,2
"but many",11,4,7
"but may",6,1,2
"but maybe",21,2,14
"but more",29,3,5
"but most",37,4,15
"but most of",22,1,5
"but mostly",13,1,2
"but must",2,1,2
"but my",80,1,52
"but neither",8,1,3
"but never",36,3,31
"but no",52,4,50
"but no matter",1,2,1
"but none",18,2,4
"but none of",12,2,2
"but not",210,24,143
"but not before",4,1,2
"but not for",6,3,6
"but not in",9,2,3
"but not quite",4,1,2
"but not really",8,1,1
"but not so",4,1,4
"but not the",12,1,4
"but not this",3,1,1
"but nothing",27,1,11
"but now",73,6,46
"but now i",14,1,10
"but now it's",3,2,3
"but of",20,2,12
"but of course",15,1,10
"but on",32,4,10
"but once",15,3,8
"but one",45,3,13
"but one day",4,1,1
"but only",37,6,28
"but only a",2,1,1
"but only one",1,1,1
"but other",15,1,4
"but others",6,2,3
"but our",13,1,7
"but overall",7,2,1
"but really",22,2,19
"but remember",5,2,3
"but requires",2,1,1
"but sadly",9,1,2
"but said",7,11,1
"but says",1,1,1
"but sea",1,1,1
"but seriously",4,1,9
"but she",108,9,26
"but she's",14,5,11
"but she is",11,2,3
"but simply",3,1,2
"but some",19,4,13
"but something",25,1,4
"but sometimes",26,1,17
"but still",83,3,79
"but surely",6,1,6
"but thanks",2,1,18
"but thanks to",2,1,1
"but that",174,30,59
"but that's",82,7,44
"but that's not",16,2,8
"but that's what",6,1,2
"but that's why",2,1,1
"but that didn't",5,1,1
"but that doesn't",24,3,5
"but that is",22,2,11
"but that was",17,6,4
"but the",573,122,180
"but the best",8,2,2
"but the fact",8,1,4
"but the final",2,1,1
"but the main",2,1,1
"but the more",4,1,2
"but the older",1,1,1
"but the real",8,3,1
"but their",13,1,10
"but then",133,7,61
"but then it",7,2,2
"but there",129,18,49
"but there's",30,7,15
"but there's no",7,1,3
"but there are",42,5,11
"but there is",32,4,18
"but there was",23,2,2
"but there were",11,2,1
"but they",206,23,104
"but they're",16,4,10
"but they are",39,2,17
"but they did",6,1,1
"but they had",3,1,1
"but they have",11,2,6
"but they might",1,1,1
"but they still",3,1,2
"but they were",23,3,3
"but they would",1,1,1
"but this",212,14,53
"but this is",56,4,10
"but this isn't",2,2,2
"but this one",16,1,2
"but this time",18,1,3
"but this year",14,1,3
"but those",18,3,6
"but those are",4,1,2
"but three",3,1,1
"but through",4,1,1
"but time",4,1,3
"but to",94,9,27
"but to the",3,1,2
"but today",15,1,9
"but too",2,1,4
"but two",3,3,3
"but ultimately",6,1,1
"but until",8,3,2
"but us",2,2,5
"but usually",3,2,2
"but want",2,1,5
"but want to",2,1,3
"but was",29,8,14
"but watching",3,1,2
"but we",174,27,98
"but we'll",5,2,10
"but we're",17,9,19
"but we're still",1,2,2
"but we've",5,1,1
"but we all",6,1,5
"but we are",16,5,4
"but we didn't",3,2,1
"but we have",15,4,10
"but we know",4,1,2
"but we really",1,2,1
"but we still",1,2,3
"but we will",5,1,6
"but well",8,1,4
"but were",12,4,6
"but what",109,7,54
"but what's",1,2,9
"but what a",2,1,1
"but what if",5,2,4
"but what is",8,1,2
"but when",123,11,42
"but when a",2,1,1
"but when he",7,2,2
"but when i",35,1,13
"but when it",8,1,4
"but when the",9,1,2
"but when your",2,1,2
"but where",11,4,6
"but while",6,1,1
"but who",21,1,12
"but why",18,1,20
"but will",21,2,32
"but will be",1,1,6
"but with",66,8,13
"but with the",11,1,1
"but without",9,1,4
"but won't",2,1,4
"but would",11,2,12
"but yesterday",5,1,2
"but you",148,18,187
"but you'll",5,2,13
"but you're",11,1,32
"but you can",19,6,23
"but you could",6,1,1
"but you didn't",2,1,3
"but you don't",8,1,10
"but you have",11,5,17
"but you will",10,1,3
"butter but",1,1,1
"butter in",7,1,3
"butter or",3,1,1
"butternut squash",1,2,5
"button in",1,1,2
"buy a",51,3,73
"buy an",6,1,5
"buy anything",3,1,1
"buy in",5,1,8
"buy it",26,1,24
"buy more",4,2,8
"buy one",11,1,9
"buy out",2,1,1
"buy the",27,1,18
"buy their",4,1,9
"buy them",8,1,7
"buy this",5,2,2
"buy tickets",2,2,4
"buying a",15,2,15
"buying it",6,1,3
"buying that",1,1,1
"buying the",11,2,9
"by 15",1,1,1
"by 2015",3,1,2
"by 2020",1,2,2
"by a",366,73,98
"by a former",1,1,1
"by a new",4,1,1
"by a small",1,1,1
"by a team",1,1,3
"by about",4,2,4
"by accident",10,1,6
"by adam",1,1,3
"by adding",10,3,3
"by age",2,1,2
"by alex",1,1,2
"by all",37,2,17
"by all accounts",5,1,2
"by an",57,10,15
"by and",52,3,63
"by and large",4,1,1
"by anne",1,1,1
"by any",22,1,6
"by april",8,2,2
"by as",5,3,5
"by as many",1,1,1
"by as much",1,2,1
"by asking",5,1,2
"by at",5,1,5
"by at least",2,1,1
"by beating",1,2,1
"by being",9,1,8
"by bike",1,3,1
"by but",3,1,2
"by calling",5,3,2
"by chance",2,2,8
"by chris",4,1,5
"by city",1,3,1
"by coming",3,1,3
"by comparing",3,1,1
"by david",12,4,3
"by day",7,1,1
"by doing",15,2,9
"by dr",5,2,2
"by drinking",2,1,1
"by e",1,1,1
"by eating",5,1,2
"by elizabeth",4,1,1
"by email",4,3,2
"by erin",1,1,1
"by failing",1,1,1
"by far",28,3,15
"by far the",14,1,4
"by fear",1,1,1
"by filling",1,1,2
"by friends",1,1,1
"by getting",4,2,2
"by giving",12,1,5
"by god",10,1,3
"by going",8,1,4
"by hand",15,1,4
"by having",19,3,8
"by her",32,11,7
"by high",3,1,2
"by him",18,1,4
"by his",83,10,10
"by his own",8,1,1
"by how",13,3,11
"by how many",1,1,2
"by i",10,1,7
"by it",20,1,8
"by its",21,5,6
"by itself",11,1,1
"by james",4,1,2
"by jason",1,1,2
"by john",11,3,4
"by joseph",1,4,1
"by josh",2,1,1
"by july",1,1,3
"by june",4,2,4
"by kevin",2,1,1
"by late",6,2,2
"by laura",1,1,1
"by law",6,2,2
"by little",5,1,4
"by local",8,1,2
"by making",22,3,7
"by many",18,2,7
"by many to",1,1,1
"by mark",7,1,2
"by matt",2,2,1
"by michael",5,1,2
"by mid",3,1,1
"by mike",6,1,1
"by monday",8,1,4
"by monday april",1,1,1
"by more",8,4,3
"by more than",5,4,2
"by most",5,2,2
"by my",83,2,59
"by name",8,2,3
"by new",4,5,1
"by next",2,1,8
"by no",18,1,4
"by noon",2,2,1
"by not",10,1,11
"by now",36,5,19
"by now the",1,1,1
"by offering",2,2,1
"by on",9,1,20
"by one",33,3,10
"by one of",9,1,2
"by other",14,4,5
"by peter",6,1,2
"by phone",5,1,2
"by police",2,2,1
"by president",8,2,2
"by pushing",2,1,1
"by replacing",2,1,1
"by richard",5,1,2
"by roger",1,1,1
"by ron",1,1,1
"by saying",21,4,4
"by scott",1,1,1
"by sending",5,2,4
"by senior",1,1,1
"by several",8,1,1
"by shooting",1,2,1
"by simon",2,1,1
"by six",3,1,1
"by so",7,1,15
"by some",30,3,10
"by someone",17,3,11
"by someone else",7,1,1
"by st",2,3,1
"by such",6,1,1
"by taking",5,1,4
"by telling",8,1,2
"by that",33,5,17
"by the",1228,228,441
"by the army",3,2,1
"by the city",4,2,2
"by the end",38,9,19
"by the fire",1,2,2
"by the front",1,1,1
"by the glass",1,2,1
"by the name",8,2,1
"by the national",3,1,1
"by the new",4,2,1
"by the number",1,1,5
"by the numbers",1,1,1
"by the people",5,2,3
"by the police",8,1,2
"by the president",1,1,1
"by the same",11,2,4
"by the senate",2,2,1
"by the state",5,6,1
"by the time",82,4,14
"by the university",2,2,1
"by the us",4,6,1
"by the way",67,3,49
"by their",42,6,15
"by them",12,1,3
"by themselves",3,1,1
"by then",19,4,9
"by third",1,1,2
"by this",58,6,14
"by those",16,4,6
"by those who",5,2,3
"by three",3,1,2
"by tim",3,1,1
"by to",9,1,22
"by today",3,1,6
"by two",16,4,2
"by us",7,2,6
"by using",16,1,9
"by using the",3,1,4
"by way",11,1,2
"by way of",11,1,1
"by what",12,2,17
"by which",16,3,5
"by with",6,1,2
"by women",4,1,2
"by working",3,1,2
"by you",7,1,13
"by your",19,1,28
"by yourself",8,1,5
"c reilly",1,1,1
"cab and",1,1,3
"cable tv",4,3,2
"cafe at",2,1,4
"cafe is",2,1,1
"cake and",18,2,7
"cake with",15,1,6
"calendar and",4,1,1
"california day",1,1,1
"california if",1,1,1
"california in",3,1,1
"california institute",1,1,1
"california the",1,4,1
"california to",5,1,1
"call 911",4,1,2
"call a",14,1,22
"call and",13,1,9
"call at",2,1,7
"call at the",1,1,1
"call back",4,2,5
"call by",2,1,2
"call for",29,11,28
"call for it",1,1,1
"call from",15,2,7
"call him",18,2,9
"call in",9,1,20
"call is",2,1,2
"call it",76,4,56
"call it a",12,1,13
"call it the",6,3,7
"call me",28,2,143
"call my",5,1,13
"call on",4,2,10
"call on the",2,1,2
"call our",2,1,5
"call the",21,9,24
"call their",4,1,1
"call this",9,1,9
"call to",21,6,19
"call to make",1,1,1
"call to the",1,1,2
"call up",3,1,4
"call with",2,3,8
"called a",26,6,23
"called an",5,1,6
"called back",3,2,2
"called by",3,1,3
"called for",20,9,5
"called for a",2,1,1
"called for the",1,1,1
"called her",12,1,1
"called him",3,1,5
"called his",3,3,1
"called i",2,1,1
"called in",11,3,6
"called in the",1,1,1
"called it",15,5,9
"called me",31,1,25
"called out",14,1,5
"called the",71,18,27
"called to",17,7,7
"calling for",13,3,4
"calling her",6,1,1
"calling in",3,1,2
"calling it",3,1,16
"calling it a",1,1,9
"calling the",9,2,16
"calls and",8,2,2
"calls at",1,1,2
"calls for",23,6,15
"calls for a",4,1,4
"calls from",3,3,6
"calls him",1,1,1
"calls it",6,1,3
"calls or",4,1,2
"calls the",8,1,2
"calls to",7,5,2
"calls to the",1,1,1
"calm waters",1,1,1
"calmed down",2,1,3
"calories a",3,1,1
"cam newton",1,1,5
"came across",39,1,10
"came along",12,2,6
"came and",18,2,4
"came and went",3,1,1
"came at",4,1,3
"came back",49,2,13
"came by",6,1,3
"came first",2,1,1
"came from",49,9,25
"came from the",11,4,2
"came in",41,6,26
"came in and",10,1,4
"came in the",9,2,6
"came into",23,3,6
"came just",1,1,1
"came on",10,3,12
"came on the",3,1,2
"came out",80,7,66
"came out of",16,2,6
"came out to",5,1,10
"came out with",4,1,1
"came the",19,2,2
"came to",114,18,59
"came to an",1,1,1
"came to the",19,5,8
"came up",48,5,14
"came up with",28,1,7
"came with",22,3,4
"came with a",6,1,2
"camera and",13,1,2
"camera for",2,1,1
"camera in",3,1,1
"camera in the",2,1,1
"camp and",6,1,1
"camp i",2,1,1
"camp in",5,1,4
"camp just",1,1,1
"camp that",1,1,1
"campaign against",3,1,1
"campaign and",10,1,3
"campaign for",3,1,6
"campaign is",8,1,3
"campaign manager",1,1,1
"campaign of",2,3,1
"campaign promises",2,1,1
"campaign to",7,1,3
"campaigns are",1,2,1
"campbell and",2,1,1
"campus and",6,3,1
"can't afford",15,2,12
"can't afford to",5,2,4
"can't be",41,6,73
"can't believe",48,2,103
"can't believe i",6,1,15
"can't believe the",3,1,3
"can't do",26,5,34
"can't do it",6,2,4
"can't do that",4,1,5
"can't even",32,1,63
"can't feel",2,1,2
"can't find",18,1,34
"can't fully",1,1,1
"can't get",38,1,100
"can't get a",4,1,7
"can't go",11,1,28
"can't i",6,1,22
"can't keep",6,1,19
"can't leave",5,2,8
"can't let",7,3,8
"can't let go",2,1,2
"can't pass",1,1,1
"can't remember",26,1,18
"can't remember the",3,1,2
"can't say",26,2,14
"can't see",31,1,31
"can't see the",5,1,4
"can't stand",6,2,39
"can't stand the",3,1,3
"can't stay",1,1,8
"can't take",10,1,21
"can't turn",1,1,2
"can't use",2,2,4
"can't wait",87,2,723
"can't wait to",64,1,380
"can't you",3,2,14
"can accept",4,1,1
"can achieve",3,1,2
"can add",21,1,11
"can add the",1,1,1
"can afford",6,2,13
"can afford to",3,1,2
"can all",17,3,13
"can all be",4,1,1
"can almost",5,1,2
"can also",85,12,17
"can also give",1,1,1
"can always",21,2,31
"can always be",3,1,2
"can and",35,2,11
"can anybody",1,1,1
"can anyone",5,2,24
"can ask",11,1,6
"can at",6,1,1
"can at least",3,1,1
"can barely",6,2,7
"can barely see",1,1,1
"can be",640,84,270
"can be a",41,8,22
"can be an",4,1,4
"can be as",6,2,2
"can be both",1,1,1
"can be bought",2,1,1
"can be considered",1,1,1
"can be described",1,1,1
"can be destroyed",1,1,1
"can be done",15,1,5
"can be downloaded",1,1,1
"can be eaten",1,2,1
"can be found",30,3,3
"can be just",3,2,1
"can be made",16,2,3
"can be of",2,1,3
"can be really",3,1,4
"can be seen",14,2,3
"can be the",13,1,11
"can be used",28,1,12
"can be very",12,1,4
"can beat",5,1,10
"can become",16,5,11
"can become a",4,2,3
"can benefit",4,1,4
"can bet",2,1,1
"can blame",4,2,1
"can borrow",4,1,3
"can breathe",1,2,2
"can bring",11,1,15
"can build",7,1,2
"can buy",26,1,19
"can call",10,2,14
"can cause",13,4,5
"can change",16,4,29
"can check",17,1,10
"can check out",11,1,3
"can choose",13,1,5
"can choose to",7,1,3
"can come",25,3,38
"can come to",2,2,5
"can compete",2,1,1
"can continue",12,1,2
"can control",5,1,12
"can cope",3,1,1
"can count",11,1,11
"can count on",6,1,6
"can create",15,1,3
"can deal",5,1,5
"can deal with",5,1,3
"can do",160,18,199
"can do all",2,1,1
"can do better",1,1,6
"can do for",2,2,6
"can do is",20,1,15
"can do it",16,1,37
"can do that",9,2,13
"can do the",2,2,5
"can do this",9,1,13
"can do to",17,1,12
"can download",5,1,3
"can draw",6,1,1
"can drink",5,1,6
"can easily",32,2,4
"can eat",13,3,24
"can encourage",2,1,1
"can enjoy",13,1,7
"can enter",11,1,2
"can even",24,3,6
"can expect",14,3,4
"can expect to",2,1,3
"can feel",17,2,17
"can finally",5,1,9
"can find",88,6,39
"can find a",7,2,5
"can fix",4,1,6
"can for",6,1,1
"can get",153,14,199
"can get a",15,2,19
"can get down",1,1,1
"can get everything",1,1,2
"can get it",3,1,12
"can get more",1,1,1
"can get them",4,1,3
"can get your",3,1,7
"can give",28,1,31
"can go",42,4,84
"can go to",3,1,25
"can go wrong",2,1,2
"can guide",2,1,1
"can handle",14,1,11
"can happen",7,3,11
"can have",57,5,64
"can hear",24,1,26
"can hear it",1,1,4
"can help",43,5,112
"can help to",3,1,1
"can help with",1,1,8
"can help you",9,1,20
"can hold",11,1,11
"can hold their",1,1,1
"can honestly",10,1,3
"can honestly say",9,1,3
"can i",77,1,278
"can imagine",22,1,5
"can in",10,1,3
"can include",6,1,1
"can it",15,1,15
